freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.573e+02,6.253e+00,1.347e+01,3.770e+02
1.5,2.155e+02,1.475e+01,5.838e+01,2.887e+02
3.0,2.518e+01,1.595e+01,6.731e+01,1.084e+02
4.5,2.393e+02,1.678e+01,8.480e+01,3.409e+02
6.0,9.736e+02,1.580e+01,8.376e+01,1.073e+03
7.5,1.648e+03,1.513e+01,6.588e+01,1.729e+03
9.0,2.393e+03,1.658e+01,5.952e+01,2.469e+03
10.5,3.345e+03,1.835e+01,7.431e+01,3.438e+03
12.0,4.544e+03,1.725e+01,5.861e+01,4.620e+03
13.4,5.975e+03,1.670e+01,6.400e+01,6.056e+03
14.9,6.785e+03,1.704e+01,6.392e+01,6.866e+03
16.4,7.287e+03,1.708e+01,7.130e+01,7.376e+03
17.9,8.967e+03,1.740e+01,8.402e+01,9.068e+03
19.4,1.145e+04,1.826e+01,8.095e+01,1.155e+04
20.9,1.414e+04,1.866e+01,8.072e+01,1.424e+04
22.4,1.719e+04,2.205e+01,8.098e+01,1.730e+04
23.9,1.930e+04,2.223e+01,1.120e+02,1.944e+04
25.4,2.008e+04,2.309e+01,9.878e+01,2.020e+04
26.9,2.310e+04,3.078e+01,9.029e+01,2.322e+04
28.4,2.692e+04,4.851e+01,7.100e+01,2.704e+04
29.9,3.173e+04,7.917e+01,7.700e+01,3.188e+04
31.4,3.786e+04,1.118e+02,7.171e+01,3.804e+04
32.9,4.500e+04,1.327e+02,7.782e+01,4.521e+04
34.4,5.278e+04,1.900e+02,9.584e+01,5.307e+04
35.9,6.214e+04,2.282e+02,1.377e+02,6.251e+04
37.4,7.349e+04,2.427e+02,2.453e+02,7.398e+04
38.8,8.471e+04,2.382e+02,4.164e+02,8.537e+04
40.3,9.898e+04,2.002e+02,5.934e+02,9.977e+04
41.8,1.174e+05,1.789e+02,7.354e+02,1.183e+05
43.3,1.425e+05,2.212e+02,8.908e+02,1.436e+05
44.8,1.792e+05,3.843e+02,1.087e+03,1.807e+05
46.3,2.232e+05,9.509e+02,1.071e+03,2.253e+05
47.8,2.774e+05,2.324e+03,9.020e+02,2.807e+05
49.3,3.545e+05,6.609e+03,8.714e+02,3.619e+05
50.8,4.462e+05,1.455e+04,1.999e+03,4.627e+05
52.3,5.657e+05,2.079e+04,7.141e+03,5.936e+05
53.8,7.660e+05,2.112e+04,1.742e+04,8.046e+05
55.3,1.144e+06,1.702e+04,3.114e+04,1.192e+06
56.8,1.698e+06,1.342e+04,4.766e+04,1.759e+06
58.3,1.473e+06,8.090e+03,3.849e+04,1.520e+06
59.8,1.049e+06,4.223e+03,2.423e+04,1.077e+06
61.3,8.762e+05,2.498e+03,1.934e+04,8.981e+05
62.7,7.102e+05,1.554e+03,1.485e+04,7.267e+05
64.2,5.709e+05,1.119e+03,1.150e+04,5.835e+05
65.7,4.517e+05,7.953e+02,9.329e+03,4.618e+05
67.2,3.745e+05,6.367e+02,8.020e+03,3.832e+05
68.7,3.473e+05,5.867e+02,7.650e+03,3.556e+05
