freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.240e+00,3.450e+02,3.475e+02,6.977e+02
1.5,1.906e+01,2.174e+02,1.110e+03,1.346e+03
3.0,2.255e+01,4.350e+01,1.105e+03,1.171e+03
4.5,2.428e+01,2.727e+02,1.115e+03,1.412e+03
6.0,2.296e+01,1.083e+03,1.300e+03,2.406e+03
7.5,2.078e+01,1.804e+03,1.331e+03,3.156e+03
9.0,1.938e+01,2.695e+03,1.081e+03,3.796e+03
10.5,2.236e+01,3.681e+03,8.765e+02,4.580e+03
11.9,2.227e+01,5.087e+03,9.003e+02,6.010e+03
13.4,2.464e+01,7.475e+03,9.556e+02,8.456e+03
14.9,2.808e+01,1.063e+04,2.044e+03,1.270e+04
16.4,2.426e+01,1.348e+04,1.566e+03,1.507e+04
17.9,2.460e+01,1.453e+04,8.132e+02,1.537e+04
19.4,2.650e+01,1.582e+04,9.554e+02,1.681e+04
20.9,2.611e+01,1.688e+04,1.460e+03,1.837e+04
22.4,2.896e+01,1.945e+04,2.094e+03,2.157e+04
23.9,3.296e+01,2.405e+04,1.886e+03,2.597e+04
25.4,3.982e+01,2.993e+04,1.824e+03,3.180e+04
26.9,4.739e+01,3.682e+04,1.222e+03,3.809e+04
28.4,6.089e+01,4.582e+04,2.607e+03,4.848e+04
29.9,8.752e+01,5.555e+04,2.021e+03,5.766e+04
31.4,9.340e+01,6.363e+04,1.891e+03,6.561e+04
32.8,1.198e+02,8.055e+04,2.461e+03,8.313e+04
34.3,1.793e+02,1.072e+05,3.083e+03,1.105e+05
35.8,2.803e+02,1.475e+05,4.401e+03,1.522e+05
37.3,3.657e+02,2.050e+05,6.428e+03,2.118e+05
38.8,3.856e+02,2.998e+05,9.936e+03,3.101e+05
40.3,6.705e+02,5.151e+05,3.006e+04,5.458e+05
41.8,1.518e+03,8.744e+05,1.008e+05,9.768e+05
43.3,2.593e+03,1.275e+06,2.355e+05,1.514e+06
44.8,2.594e+03,9.756e+05,2.264e+05,1.205e+06
46.3,2.181e+03,5.797e+05,1.451e+05,7.270e+05
47.8,1.882e+03,4.351e+05,1.117e+05,5.487e+05
49.3,1.263e+03,2.591e+05,8.042e+04,3.407e+05
50.8,8.724e+02,1.620e+05,7.474e+04,2.377e+05
52.3,7.521e+02,1.293e+05,8.390e+04,2.139e+05
53.7,8.388e+02,1.105e+05,9.202e+04,2.033e+05
55.2,9.914e+02,8.389e+04,9.248e+04,1.774e+05
56.7,8.990e+02,5.147e+04,7.816e+04,1.305e+05
58.2,7.454e+02,2.898e+04,6.643e+04,9.616e+04
59.7,5.957e+02,1.606e+04,5.802e+04,7.468e+04
61.2,4.704e+02,9.339e+03,4.889e+04,5.870e+04
62.7,3.927e+02,7.063e+03,4.162e+04,4.908e+04
64.2,4.975e+02,8.976e+03,4.013e+04,4.960e+04
65.7,7.523e+02,1.325e+04,4.076e+04,5.476e+04
67.2,8.573e+02,1.417e+04,3.699e+04,5.201e+04
68.7,1.007e+03,1.431e+04,3.454e+04,4.987e+04
70.2,1.107e+03,1.469e+04,3.098e+04,4.678e+04
71.7,1.387e+03,1.472e+04,3.029e+04,4.640e+04
73.2,1.665e+03,1.369e+04,2.812e+04,4.348e+04
74.6,1.927e+03,1.403e+04,2.633e+04,4.229e+04
76.1,1.766e+03,1.622e+04,2.769e+04,4.568e+04
77.6,1.600e+03,1.899e+04,2.989e+04,5.048e+04
79.1,1.468e+03,2.152e+04,3.055e+04,5.353e+04
80.6,1.188e+03,2.389e+04,3.175e+04,5.683e+04
82.1,1.050e+03,2.746e+04,3.454e+04,6.305e+04
83.6,1.061e+03,3.158e+04,3.815e+04,7.079e+04
85.1,2.362e+03,3.655e+04,4.467e+04,8.358e+04
86.6,2.424e+03,4.157e+04,4.968e+04,9.368e+04
88.1,9.865e+02,4.492e+04,4.960e+04,9.551e+04
89.6,4.929e+02,4.328e+04,4.349e+04,8.726e+04
91.1,4.809e+02,3.825e+04,3.587e+04,7.460e+04
92.6,5.339e+02,3.401e+04,2.876e+04,6.331e+04
94.1,5.400e+02,3.336e+04,2.601e+04,5.991e+04
95.5,4.901e+02,3.454e+04,2.564e+04,6.067e+04
97.0,3.907e+02,3.499e+04,2.560e+04,6.098e+04
98.5,3.038e+02,3.354e+04,2.391e+04,5.776e+04
100.0,2.802e+02,3.047e+04,2.016e+04,5.091e+04
101.5,2.830e+02,2.639e+04,1.719e+04,4.386e+04
103.0,3.583e+02,2.231e+04,1.500e+04,3.766e+04
104.5,4.610e+02,1.699e+04,1.122e+04,2.867e+04
106.0,4.957e+02,1.240e+04,8.497e+03,2.140e+04
107.5,5.782e+02,1.076e+04,8.074e+03,1.941e+04
109.0,7.017e+02,8.576e+03,6.714e+03,1.599e+04
110.5,8.079e+02,7.100e+03,5.432e+03,1.334e+04
112.0,1.237e+03,8.778e+03,6.773e+03,1.679e+04
113.5,1.716e+03,1.335e+04,1.078e+04,2.584e+04
115.0,1.700e+03,2.227e+04,1.654e+04,4.051e+04
116.4,1.298e+03,3.169e+04,2.181e+04,5.480e+04
117.9,9.260e+02,3.851e+04,2.479e+04,6.423e+04
119.4,6.742e+02,4.235e+04,2.605e+04,6.907e+04
120.9,6.865e+02,4.020e+04,2.349e+04,6.437e+04
122.4,8.780e+02,3.433e+04,1.882e+04,5.403e+04
123.9,9.696e+02,2.884e+04,1.314e+04,4.295e+04
125.4,8.526e+02,2.599e+04,9.746e+03,3.659e+04
